[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		13990 MB
[runlim] argv[0]:		./a.out
[runlim] argv[1]:		10
[runlim] argv[2]:		2
[runlim] argv[3]:		2
[runlim] start:			Wed Sep  1 00:59:39 2021
[runlim] main pid:		12730
[runlim] sample:		10.0 time, 10.5 real, 377.8 MB
[runlim] sample:		20.0 time, 20.5 real, 738.8 MB
[runlim] sample:		30.0 time, 30.5 real, 1095.6 MB
[runlim] sample:		40.0 time, 40.5 real, 1446.5 MB
[runlim] sample:		50.0 time, 50.5 real, 1797.1 MB
[runlim] sample:		60.0 time, 60.5 real, 2144.4 MB
[runlim] sample:		70.0 time, 70.5 real, 2491.6 MB
[runlim] sample:		80.0 time, 80.5 real, 2858.0 MB
[runlim] sample:		90.0 time, 90.5 real, 3168.1 MB
[runlim] sample:		99.9 time, 100.5 real, 3441.7 MB
[runlim] sample:		109.9 time, 110.5 real, 4601.3 MB
[runlim] sample:		119.9 time, 120.5 real, 6287.4 MB
[runlim] sample:		137.1 time, 130.5 real, 6287.4 MB
[runlim] sample:		157.1 time, 140.5 real, 6287.4 MB
[runlim] sample:		177.1 time, 150.5 real, 6287.4 MB
[runlim] sample:		196.9 time, 160.5 real, 6287.4 MB
[runlim] sample:		215.7 time, 170.5 real, 6287.4 MB
[runlim] sample:		235.2 time, 180.5 real, 6287.4 MB
[runlim] sample:		255.1 time, 190.5 real, 6287.4 MB
[runlim] sample:		274.9 time, 200.5 real, 6287.4 MB
[runlim] sample:		294.7 time, 210.5 real, 6287.6 MB
[runlim] sample:		313.1 time, 220.5 real, 6287.6 MB
[runlim] sample:		332.8 time, 230.5 real, 6287.6 MB
[runlim] sample:		351.8 time, 240.5 real, 6288.1 MB
[runlim] sample:		371.0 time, 250.5 real, 6288.3 MB
[runlim] sample:		389.0 time, 260.5 real, 6288.3 MB
[runlim] sample:		408.9 time, 270.5 real, 6288.3 MB
[runlim] sample:		428.6 time, 280.5 real, 6288.3 MB
[runlim] sample:		448.2 time, 290.5 real, 6288.3 MB
[runlim] sample:		467.9 time, 300.5 real, 6288.3 MB
