[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		13990 MB
[runlim] argv[0]:		./a.out
[runlim] argv[1]:		10
[runlim] argv[2]:		2
[runlim] argv[3]:		1
[runlim] start:			Wed Sep  1 00:39:38 2021
[runlim] main pid:		4360
[runlim] sample:		10.0 time, 11.0 real, 379.9 MB
[runlim] sample:		20.0 time, 21.0 real, 738.3 MB
[runlim] sample:		30.0 time, 31.0 real, 1091.2 MB
[runlim] sample:		40.0 time, 41.0 real, 1433.9 MB
[runlim] sample:		50.0 time, 51.0 real, 1783.2 MB
[runlim] sample:		60.0 time, 61.0 real, 2124.0 MB
[runlim] sample:		70.0 time, 71.0 real, 2461.5 MB
[runlim] sample:		80.0 time, 81.0 real, 2824.5 MB
[runlim] sample:		89.9 time, 91.0 real, 3138.5 MB
[runlim] sample:		99.9 time, 101.0 real, 3412.8 MB
[runlim] sample:		109.9 time, 111.0 real, 4280.4 MB
[runlim] sample:		119.9 time, 121.0 real, 6267.9 MB
[runlim] sample:		129.9 time, 131.0 real, 6287.5 MB
[runlim] sample:		139.9 time, 141.0 real, 6287.5 MB
[runlim] sample:		149.9 time, 151.0 real, 6287.5 MB
[runlim] sample:		159.9 time, 161.0 real, 6287.5 MB
[runlim] sample:		169.9 time, 171.0 real, 6287.5 MB
[runlim] sample:		179.9 time, 181.0 real, 6287.5 MB
[runlim] sample:		189.9 time, 191.0 real, 6287.5 MB
[runlim] sample:		199.9 time, 201.0 real, 6287.5 MB
[runlim] sample:		209.9 time, 211.0 real, 6287.5 MB
[runlim] sample:		219.9 time, 221.0 real, 6287.5 MB
[runlim] sample:		229.9 time, 231.0 real, 6287.5 MB
[runlim] sample:		239.9 time, 241.0 real, 6287.5 MB
[runlim] sample:		249.9 time, 251.0 real, 6287.5 MB
[runlim] sample:		259.9 time, 261.0 real, 6287.6 MB
[runlim] sample:		269.9 time, 271.0 real, 6287.6 MB
[runlim] sample:		279.9 time, 281.0 real, 6287.6 MB
[runlim] sample:		289.9 time, 291.0 real, 6287.6 MB
[runlim] sample:		299.9 time, 301.0 real, 6288.0 MB
