[runlim] version:		1.10
[runlim] sample:		1018.9 time, 1020.6 real, 18.3 MB
[runlim] sample:		1028.9 time, 1030.6 real, 18.5 MB
[runlim] sample:		1038.9 time, 1040.6 real, 18.5 MB
[runlim] sample:		1048.9 time, 1050.6 real, 18.5 MB
[runlim] sample:		1058.8 time, 1060.6 real, 18.5 MB
[runlim] sample:		1068.8 time, 1070.6 real, 18.8 MB
[runlim] sample:		1078.8 time, 1080.6 real, 18.8 MB
[runlim] sample:		1088.8 time, 1090.6 real, 18.8 MB
[runlim] sample:		1098.8 time, 1100.6 real, 18.8 MB
[runlim] sample:		1108.8 time, 1110.6 real, 18.8 MB
[runlim] sample:		1118.8 time, 1120.6 real, 19.0 MB
[runlim] sample:		1128.8 time, 1130.6 real, 19.0 MB
[runlim] sample:		1138.8 time, 1140.6 real, 19.0 MB
[runlim] sample:		1148.7 time, 1150.6 real, 19.0 MB
[runlim] sample:		1158.7 time, 1160.6 real, 19.3 MB
[runlim] sample:		1168.7 time, 1170.6 real, 19.3 MB
[runlim] sample:		1178.7 time, 1180.6 real, 19.3 MB
[runlim] sample:		1188.7 time, 1190.6 real, 19.3 MB
[runlim] sample:		1198.7 time, 1200.6 real, 19.6 MB
[runlim] sample:		1208.7 time, 1210.6 real, 19.6 MB
[runlim] sample:		1218.7 time, 1220.6 real, 19.6 MB
[runlim] sample:		1228.7 time, 1230.6 real, 19.6 MB
[runlim] sample:		1238.6 time, 1240.6 real, 19.6 MB
[runlim] sample:		1248.6 time, 1250.6 real, 19.8 MB
[runlim] sample:		1258.6 time, 1260.6 real, 19.8 MB
[runlim] sample:		1268.6 time, 1270.6 real, 19.8 MB
[runlim] sample:		1278.6 time, 1280.6 real, 19.8 MB
[runlim] sample:		1288.6 time, 1290.6 real, 20.1 MB
[runlim] sample:		1298.6 time, 1300.6 real, 20.1 MB
[runlim] sample:		1308.6 time, 1310.6 real, 20.1 MB
[runlim] sample:		1318.5 time, 1320.6 real, 20.1 MB
[runlim] sample:		1328.5 time, 1330.6 real, 20.1 MB
[runlim] sample:		1338.5 time, 1340.6 real, 20.3 MB
[runlim] sample:		1348.5 time, 1350.6 real, 20.3 MB
[runlim] sample:		1358.5 time, 1360.6 real, 20.3 MB
[runlim] sample:		1368.5 time, 1370.6 real, 20.3 MB
[runlim] sample:		1378.5 time, 1380.6 real, 20.3 MB
[runlim] sample:		1388.5 time, 1390.6 real, 20.6 MB
[runlim] sample:		1398.5 time, 1400.6 real, 20.6 MB
[runlim] sample:		1408.5 time, 1410.6 real, 20.6 MB
[runlim] sample:		1418.4 time, 1420.6 real, 20.6 MB
[runlim] sample:		1428.4 time, 1430.6 real, 20.6 MB
[runlim] sample:		1438.4 time, 1440.6 real, 20.8 MB
[runlim] sample:		1448.4 time, 1450.6 real, 20.8 MB
[runlim] sample:		1458.4 time, 1460.6 real, 20.8 MB
