[runlim] version:		1.10
[runlim] sample:		1018.7 time, 1020.4 real, 17.9 MB
[runlim] sample:		1028.7 time, 1030.4 real, 17.9 MB
[runlim] sample:		1038.7 time, 1040.4 real, 17.9 MB
[runlim] sample:		1048.7 time, 1050.4 real, 17.9 MB
[runlim] sample:		1058.7 time, 1060.4 real, 18.1 MB
[runlim] sample:		1068.7 time, 1070.4 real, 18.1 MB
[runlim] sample:		1078.7 time, 1080.4 real, 18.1 MB
[runlim] sample:		1088.7 time, 1090.4 real, 18.1 MB
[runlim] sample:		1098.7 time, 1100.4 real, 18.4 MB
[runlim] sample:		1108.6 time, 1110.4 real, 18.4 MB
[runlim] sample:		1118.6 time, 1120.4 real, 18.4 MB
[runlim] sample:		1128.6 time, 1130.4 real, 18.4 MB
[runlim] sample:		1138.6 time, 1140.4 real, 18.6 MB
[runlim] sample:		1148.6 time, 1150.4 real, 18.6 MB
[runlim] sample:		1158.6 time, 1160.4 real, 18.6 MB
[runlim] sample:		1168.6 time, 1170.4 real, 18.6 MB
[runlim] sample:		1178.6 time, 1180.4 real, 18.9 MB
[runlim] sample:		1188.5 time, 1190.4 real, 18.9 MB
[runlim] sample:		1198.5 time, 1200.4 real, 18.9 MB
[runlim] sample:		1208.5 time, 1210.4 real, 18.9 MB
[runlim] sample:		1218.5 time, 1220.4 real, 18.9 MB
[runlim] sample:		1228.5 time, 1230.4 real, 19.1 MB
[runlim] sample:		1238.5 time, 1240.4 real, 19.1 MB
[runlim] sample:		1248.5 time, 1250.4 real, 19.1 MB
[runlim] sample:		1258.5 time, 1260.4 real, 19.1 MB
[runlim] sample:		1268.5 time, 1270.4 real, 19.4 MB
[runlim] sample:		1278.5 time, 1280.4 real, 19.4 MB
[runlim] sample:		1288.5 time, 1290.4 real, 19.4 MB
[runlim] sample:		1298.4 time, 1300.4 real, 19.4 MB
[runlim] sample:		1308.4 time, 1310.4 real, 19.4 MB
[runlim] sample:		1318.4 time, 1320.4 real, 19.7 MB
[runlim] sample:		1328.4 time, 1330.4 real, 19.7 MB
[runlim] sample:		1338.4 time, 1340.4 real, 19.7 MB
[runlim] sample:		1348.4 time, 1350.4 real, 19.7 MB
[runlim] sample:		1358.4 time, 1360.4 real, 19.9 MB
[runlim] sample:		1368.3 time, 1370.4 real, 19.9 MB
[runlim] sample:		1378.3 time, 1380.4 real, 19.9 MB
