[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		13990 MB
[runlim] argv[0]:		./a.out
[runlim] argv[1]:		9
[runlim] argv[2]:		7
[runlim] start:			Sun Aug 29 01:58:43 2021
[runlim] main pid:		9409
[runlim] sample:		10.0 time, 10.2 real, 5.2 MB
[runlim] sample:		20.0 time, 20.2 real, 6.0 MB
[runlim] sample:		30.0 time, 30.2 real, 6.8 MB
[runlim] sample:		40.0 time, 40.2 real, 7.0 MB
[runlim] sample:		50.0 time, 50.2 real, 7.5 MB
[runlim] sample:		60.0 time, 60.2 real, 7.8 MB
[runlim] sample:		70.0 time, 70.2 real, 8.1 MB
[runlim] sample:		80.0 time, 80.2 real, 8.3 MB
[runlim] sample:		89.9 time, 90.2 real, 8.6 MB
[runlim] sample:		99.9 time, 100.2 real, 8.8 MB
[runlim] sample:		109.9 time, 110.2 real, 9.1 MB
[runlim] sample:		119.9 time, 120.2 real, 9.1 MB
[runlim] sample:		129.9 time, 130.2 real, 9.3 MB
[runlim] sample:		139.9 time, 140.2 real, 9.6 MB
[runlim] sample:		149.9 time, 150.2 real, 9.6 MB
[runlim] sample:		159.9 time, 160.2 real, 9.9 MB
[runlim] sample:		169.8 time, 170.2 real, 10.1 MB
[runlim] sample:		179.8 time, 180.2 real, 10.1 MB
[runlim] sample:		189.8 time, 190.2 real, 10.4 MB
[runlim] sample:		199.8 time, 200.2 real, 10.4 MB
[runlim] sample:		209.8 time, 210.2 real, 10.6 MB
[runlim] sample:		219.8 time, 220.2 real, 10.6 MB
[runlim] sample:		229.8 time, 230.2 real, 10.9 MB
[runlim] sample:		239.8 time, 240.2 real, 10.9 MB
[runlim] sample:		249.8 time, 250.2 real, 11.1 MB
[runlim] sample:		259.8 time, 260.2 real, 11.1 MB
[runlim] sample:		269.8 time, 270.2 real, 11.1 MB
[runlim] sample:		279.7 time, 280.2 real, 11.4 MB
[runlim] sample:		289.7 time, 290.2 real, 11.4 MB
[runlim] sample:		299.7 time, 300.2 real, 11.7 MB
[runlim] sample:		309.7 time, 310.2 real, 11.7 MB
[runlim] sample:		319.7 time, 320.2 real, 11.7 MB
