[runlim] version:		1.10
[runlim] sample:		1018.8 time, 1020.7 real, 18.1 MB
[runlim] sample:		1028.8 time, 1030.7 real, 18.1 MB
[runlim] sample:		1038.8 time, 1040.7 real, 18.4 MB
[runlim] sample:		1048.7 time, 1050.7 real, 18.4 MB
[runlim] sample:		1058.7 time, 1060.7 real, 18.4 MB
[runlim] sample:		1068.7 time, 1070.7 real, 18.4 MB
[runlim] sample:		1078.7 time, 1080.7 real, 18.6 MB
[runlim] sample:		1088.7 time, 1090.7 real, 18.6 MB
[runlim] sample:		1098.7 time, 1100.7 real, 18.6 MB
[runlim] sample:		1108.7 time, 1110.7 real, 18.6 MB
[runlim] sample:		1118.7 time, 1120.7 real, 18.6 MB
[runlim] sample:		1128.6 time, 1130.7 real, 18.9 MB
[runlim] sample:		1138.6 time, 1140.7 real, 18.9 MB
[runlim] sample:		1148.6 time, 1150.7 real, 18.9 MB
[runlim] sample:		1158.6 time, 1160.7 real, 18.9 MB
[runlim] sample:		1168.6 time, 1170.7 real, 19.2 MB
[runlim] sample:		1178.6 time, 1180.7 real, 19.2 MB
[runlim] sample:		1188.6 time, 1190.7 real, 19.2 MB
[runlim] sample:		1198.6 time, 1200.7 real, 19.2 MB
[runlim] sample:		1208.5 time, 1210.7 real, 19.2 MB
[runlim] sample:		1218.5 time, 1220.7 real, 19.4 MB
[runlim] sample:		1228.5 time, 1230.7 real, 19.4 MB
[runlim] sample:		1238.5 time, 1240.7 real, 19.4 MB
[runlim] sample:		1248.5 time, 1250.7 real, 19.4 MB
[runlim] sample:		1258.5 time, 1260.7 real, 19.7 MB
[runlim] sample:		1268.5 time, 1270.7 real, 19.7 MB
[runlim] sample:		1278.5 time, 1280.7 real, 19.7 MB
[runlim] sample:		1288.5 time, 1290.7 real, 19.7 MB
[runlim] sample:		1298.5 time, 1300.7 real, 19.7 MB
[runlim] sample:		1308.5 time, 1310.7 real, 19.9 MB
[runlim] sample:		1318.4 time, 1320.7 real, 19.9 MB
[runlim] sample:		1328.4 time, 1330.7 real, 19.9 MB
[runlim] sample:		1338.4 time, 1340.7 real, 19.9 MB
[runlim] sample:		1348.4 time, 1350.7 real, 20.2 MB
[runlim] sample:		1358.4 time, 1360.7 real, 20.2 MB
[runlim] sample:		1368.4 time, 1370.7 real, 20.2 MB
[runlim] sample:		1378.4 time, 1380.7 real, 20.2 MB
[runlim] sample:		1388.4 time, 1390.7 real, 20.2 MB
[runlim] sample:		1398.3 time, 1400.7 real, 20.4 MB
[runlim] sample:		1408.3 time, 1410.7 real, 20.4 MB
[runlim] sample:		1418.3 time, 1420.7 real, 20.4 MB
[runlim] sample:		1428.3 time, 1430.7 real, 20.4 MB
[runlim] sample:		1438.3 time, 1440.7 real, 20.4 MB
[runlim] sample:		1448.3 time, 1450.7 real, 20.7 MB
[runlim] sample:		1458.3 time, 1460.7 real, 20.7 MB
[runlim] sample:		1468.3 time, 1470.7 real, 20.7 MB
[runlim] sample:		1478.3 time, 1480.7 real, 20.7 MB
[runlim] sample:		1488.2 time, 1490.7 real, 20.7 MB
[runlim] sample:		1498.2 time, 1500.7 real, 21.0 MB
[runlim] sample:		1508.2 time, 1510.7 real, 21.0 MB
[runlim] sample:		1518.2 time, 1520.7 real, 21.0 MB
[runlim] sample:		1528.2 time, 1530.7 real, 21.0 MB
[runlim] sample:		1538.2 time, 1540.7 real, 21.0 MB
[runlim] sample:		1548.2 time, 1550.7 real, 21.2 MB
[runlim] sample:		1558.2 time, 1560.7 real, 21.2 MB
[runlim] sample:		1568.2 time, 1570.7 real, 21.2 MB
[runlim] sample:		1578.2 time, 1580.7 real, 21.2 MB
[runlim] sample:		1588.1 time, 1590.7 real, 21.2 MB
[runlim] sample:		1598.1 time, 1600.7 real, 21.5 MB
[runlim] sample:		1608.1 time, 1610.7 real, 21.5 MB
[runlim] sample:		1618.1 time, 1620.7 real, 21.5 MB
[runlim] sample:		1628.1 time, 1630.7 real, 21.5 MB
[runlim] sample:		1638.1 time, 1640.7 real, 21.5 MB
[runlim] sample:		1648.1 time, 1650.7 real, 21.7 MB
[runlim] sample:		1658.1 time, 1660.7 real, 21.7 MB
[runlim] sample:		1668.0 time, 1670.7 real, 21.7 MB
[runlim] sample:		1678.0 time, 1680.7 real, 21.7 MB
[runlim] sample:		1688.0 time, 1690.7 real, 21.7 MB
[runlim] sample:		1698.0 time, 1700.7 real, 21.7 MB
[runlim] sample:		1708.0 time, 1710.7 real, 22.0 MB
[runlim] sample:		1718.0 time, 1720.7 real, 22.0 MB
[runlim] sample:		1728.0 time, 1730.7 real, 22.0 MB
[runlim] sample:		1738.0 time, 1740.7 real, 22.0 MB
[runlim] sample:		1748.0 time, 1750.7 real, 22.0 MB
[runlim] sample:		1758.0 time, 1760.7 real, 22.2 MB
[runlim] sample:		1768.0 time, 1770.7 real, 22.2 MB
[runlim] sample:		1777.9 time, 1780.7 real, 22.2 MB
[runlim] sample:		1787.9 time, 1790.7 real, 22.2 MB
[runlim] sample:		1797.9 time, 1800.7 real, 22.2 MB
[runlim] sample:		1807.9 time, 1810.7 real, 22.5 MB
[runlim] sample:		1817.9 time, 1820.7 real, 22.5 MB
[runlim] sample:		1827.9 time, 1830.7 real, 22.5 MB
[runlim] sample:		1837.9 time, 1840.7 real, 22.5 MB
[runlim] sample:		1847.9 time, 1850.7 real, 22.5 MB
[runlim] sample:		1857.8 time, 1860.7 real, 22.5 MB
[runlim] sample:		1867.8 time, 1870.7 real, 22.8 MB
[runlim] sample:		1877.8 time, 1880.7 real, 22.8 MB
[runlim] sample:		1887.8 time, 1890.7 real, 22.8 MB
[runlim] sample:		1897.8 time, 1900.7 real, 22.8 MB
[runlim] sample:		1907.8 time, 1910.7 real, 22.8 MB
[runlim] sample:		1917.8 time, 1920.7 real, 22.8 MB
[runlim] sample:		1927.8 time, 1930.7 real, 23.0 MB
[runlim] sample:		1937.8 time, 1940.7 real, 23.0 MB
[runlim] sample:		1947.8 time, 1950.7 real, 23.0 MB
[runlim] sample:		1957.7 time, 1960.7 real, 23.0 MB
[runlim] sample:		1967.7 time, 1970.7 real, 23.0 MB
[runlim] sample:		1977.7 time, 1980.7 real, 23.3 MB
[runlim] sample:		1987.7 time, 1990.7 real, 23.3 MB
[runlim] sample:		1997.7 time, 2000.7 real, 23.3 MB
[runlim] sample:		2007.7 time, 2010.7 real, 23.3 MB
[runlim] sample:		2017.7 time, 2020.7 real, 23.3 MB
[runlim] sample:		2027.7 time, 2030.7 real, 23.3 MB
[runlim] sample:		2037.7 time, 2040.7 real, 23.5 MB
[runlim] sample:		2047.6 time, 2050.7 real, 23.5 MB
[runlim] sample:		2057.6 time, 2060.7 real, 23.5 MB
[runlim] sample:		2067.6 time, 2070.7 real, 23.5 MB
[runlim] sample:		2077.6 time, 2080.7 real, 23.5 MB
[runlim] sample:		2087.6 time, 2090.7 real, 23.5 MB
[runlim] sample:		2097.6 time, 2100.7 real, 23.8 MB
[runlim] sample:		2107.6 time, 2110.7 real, 23.8 MB
[runlim] sample:		2117.6 time, 2120.7 real, 23.8 MB
[runlim] sample:		2127.6 time, 2130.7 real, 23.8 MB
[runlim] sample:		2137.5 time, 2140.7 real, 23.8 MB
[runlim] sample:		2147.5 time, 2150.7 real, 23.8 MB
[runlim] sample:		2157.5 time, 2160.7 real, 24.1 MB
[runlim] sample:		2167.5 time, 2170.7 real, 24.1 MB
[runlim] sample:		2177.5 time, 2180.7 real, 24.1 MB
[runlim] sample:		2187.5 time, 2190.7 real, 24.1 MB
[runlim] sample:		2197.5 time, 2200.7 real, 24.1 MB
[runlim] sample:		2207.5 time, 2210.7 real, 24.1 MB
[runlim] sample:		2217.4 time, 2220.7 real, 24.3 MB
[runlim] sample:		2227.4 time, 2230.7 real, 24.3 MB
[runlim] sample:		2237.4 time, 2240.7 real, 24.3 MB
[runlim] sample:		2247.4 time, 2250.7 real, 24.3 MB
[runlim] sample:		2257.4 time, 2260.7 real, 24.3 MB
[runlim] sample:		2267.4 time, 2270.7 real, 24.3 MB
[runlim] sample:		2277.4 time, 2280.7 real, 24.6 MB
[runlim] sample:		2287.4 time, 2290.7 real, 24.6 MB
[runlim] sample:		2297.4 time, 2300.7 real, 24.6 MB
[runlim] sample:		2307.3 time, 2310.7 real, 24.6 MB
[runlim] sample:		2317.3 time, 2320.7 real, 24.6 MB
[runlim] sample:		2327.3 time, 2330.7 real, 24.6 MB
[runlim] sample:		2337.3 time, 2340.7 real, 24.8 MB
[runlim] sample:		2347.3 time, 2350.7 real, 24.8 MB
[runlim] sample:		2357.3 time, 2360.7 real, 24.8 MB
[runlim] sample:		2367.3 time, 2370.7 real, 24.8 MB
[runlim] sample:		2377.3 time, 2380.7 real, 24.8 MB
[runlim] sample:		2387.3 time, 2390.7 real, 24.8 MB
[runlim] sample:		2397.2 time, 2400.7 real, 24.8 MB
[runlim] sample:		2407.2 time, 2410.7 real, 25.1 MB
[runlim] sample:		2417.2 time, 2420.7 real, 25.1 MB
[runlim] sample:		2427.2 time, 2430.7 real, 25.1 MB
[runlim] sample:		2437.2 time, 2440.7 real, 25.1 MB
[runlim] sample:		2447.2 time, 2450.7 real, 25.1 MB
[runlim] sample:		2457.2 time, 2460.7 real, 25.1 MB
[runlim] sample:		2467.2 time, 2470.7 real, 25.3 MB
[runlim] sample:		2477.2 time, 2480.7 real, 25.3 MB
[runlim] sample:		2487.2 time, 2490.7 real, 25.3 MB
[runlim] sample:		2497.1 time, 2500.7 real, 25.3 MB
[runlim] sample:		2507.1 time, 2510.7 real, 25.3 MB
[runlim] sample:		2517.1 time, 2520.7 real, 25.3 MB
[runlim] sample:		2527.1 time, 2530.7 real, 25.3 MB
[runlim] sample:		2537.1 time, 2540.7 real, 25.6 MB
[runlim] sample:		2547.1 time, 2550.7 real, 25.6 MB
[runlim] sample:		2557.1 time, 2560.7 real, 25.6 MB
[runlim] sample:		2567.1 time, 2570.7 real, 25.6 MB
[runlim] sample:		2577.1 time, 2580.7 real, 25.6 MB
[runlim] sample:		2587.0 time, 2590.7 real, 25.6 MB
[runlim] sample:		2597.0 time, 2600.7 real, 25.9 MB
[runlim] sample:		2607.0 time, 2610.7 real, 25.9 MB
[runlim] sample:		2617.0 time, 2620.7 real, 25.9 MB
[runlim] sample:		2627.0 time, 2630.7 real, 25.9 MB
[runlim] sample:		2637.0 time, 2640.7 real, 25.9 MB
[runlim] sample:		2647.0 time, 2650.7 real, 25.9 MB
[runlim] sample:		2657.0 time, 2660.7 real, 25.9 MB
[runlim] sample:		2666.9 time, 2670.7 real, 26.1 MB
[runlim] sample:		2676.9 time, 2680.7 real, 26.1 MB
[runlim] sample:		2686.9 time, 2690.7 real, 26.1 MB
[runlim] sample:		2696.9 time, 2700.7 real, 26.1 MB
[runlim] sample:		2706.9 time, 2710.7 real, 26.1 MB
[runlim] sample:		2716.9 time, 2720.7 real, 26.1 MB
[runlim] sample:		2726.9 time, 2730.7 real, 26.1 MB
[runlim] sample:		2736.9 time, 2740.7 real, 26.4 MB
[runlim] sample:		2746.9 time, 2750.7 real, 26.4 MB
[runlim] sample:		2756.8 time, 2760.7 real, 26.4 MB
[runlim] sample:		2766.8 time, 2770.7 real, 26.4 MB
[runlim] sample:		2776.8 time, 2780.7 real, 26.4 MB
[runlim] sample:		2786.8 time, 2790.7 real, 26.4 MB
[runlim] sample:		2796.8 time, 2800.7 real, 26.4 MB
[runlim] sample:		2806.8 time, 2810.7 real, 26.6 MB
[runlim] sample:		2816.8 time, 2820.7 real, 26.6 MB
[runlim] sample:		2826.8 time, 2830.7 real, 26.6 MB
[runlim] sample:		2836.8 time, 2840.7 real, 26.6 MB
[runlim] sample:		2846.8 time, 2850.7 real, 26.6 MB
[runlim] sample:		2856.7 time, 2860.7 real, 26.6 MB
[runlim] sample:		2866.7 time, 2870.7 real, 26.9 MB
[runlim] sample:		2876.7 time, 2880.7 real, 26.9 MB
[runlim] sample:		2886.7 time, 2890.7 real, 26.9 MB
[runlim] sample:		2896.7 time, 2900.7 real, 26.9 MB
[runlim] sample:		2906.7 time, 2910.7 real, 26.9 MB
[runlim] sample:		2916.7 time, 2920.7 real, 26.9 MB
[runlim] sample:		2926.7 time, 2930.7 real, 26.9 MB
[runlim] sample:		2936.7 time, 2940.7 real, 27.1 MB
[runlim] sample:		2946.7 time, 2950.7 real, 27.1 MB
[runlim] sample:		2956.6 time, 2960.7 real, 27.1 MB
[runlim] sample:		2966.6 time, 2970.7 real, 27.1 MB
[runlim] sample:		2976.6 time, 2980.7 real, 27.1 MB
[runlim] sample:		2986.6 time, 2990.7 real, 27.1 MB
[runlim] sample:		2996.6 time, 3000.7 real, 27.1 MB
[runlim] sample:		3006.6 time, 3010.7 real, 27.4 MB
[runlim] sample:		3016.6 time, 3020.7 real, 27.4 MB
[runlim] sample:		3026.6 time, 3030.7 real, 27.4 MB
[runlim] sample:		3036.6 time, 3040.7 real, 27.4 MB
[runlim] sample:		3046.5 time, 3050.7 real, 27.4 MB
[runlim] sample:		3056.5 time, 3060.7 real, 27.4 MB
[runlim] sample:		3066.5 time, 3070.7 real, 27.4 MB
[runlim] sample:		3076.5 time, 3080.7 real, 27.4 MB
[runlim] sample:		3086.5 time, 3090.7 real, 27.7 MB
[runlim] sample:		3096.5 time, 3100.7 real, 27.7 MB
[runlim] sample:		3106.5 time, 3110.7 real, 27.7 MB
[runlim] sample:		3116.5 time, 3120.7 real, 27.7 MB
[runlim] sample:		3126.4 time, 3130.7 real, 27.7 MB
[runlim] sample:		3136.4 time, 3140.7 real, 27.7 MB
[runlim] sample:		3146.4 time, 3150.7 real, 27.7 MB
[runlim] sample:		3156.4 time, 3160.7 real, 27.9 MB
[runlim] sample:		3166.4 time, 3170.7 real, 27.9 MB
[runlim] sample:		3176.4 time, 3180.7 real, 27.9 MB
[runlim] sample:		3186.4 time, 3190.7 real, 27.9 MB
[runlim] sample:		3196.4 time, 3200.7 real, 27.9 MB
[runlim] sample:		3206.4 time, 3210.7 real, 27.9 MB
[runlim] sample:		3216.3 time, 3220.7 real, 27.9 MB
[runlim] sample:		3226.3 time, 3230.7 real, 28.2 MB
[runlim] sample:		3236.3 time, 3240.7 real, 28.2 MB
[runlim] sample:		3246.3 time, 3250.7 real, 28.2 MB
[runlim] sample:		3256.3 time, 3260.7 real, 28.2 MB
[runlim] sample:		3266.3 time, 3270.7 real, 28.2 MB
[runlim] sample:		3276.3 time, 3280.7 real, 28.2 MB
[runlim] sample:		3286.3 time, 3290.7 real, 28.2 MB
[runlim] sample:		3296.3 time, 3300.7 real, 28.2 MB
[runlim] sample:		3306.3 time, 3310.7 real, 28.4 MB
[runlim] sample:		3316.2 time, 3320.7 real, 28.4 MB
[runlim] sample:		3326.2 time, 3330.7 real, 28.4 MB
[runlim] sample:		3336.2 time, 3340.7 real, 28.4 MB
[runlim] sample:		3346.2 time, 3350.7 real, 28.4 MB
[runlim] sample:		3356.2 time, 3360.7 real, 28.4 MB
[runlim] sample:		3366.2 time, 3370.7 real, 28.4 MB
[runlim] sample:		3376.2 time, 3380.7 real, 28.7 MB
[runlim] sample:		3386.2 time, 3390.7 real, 28.7 MB
[runlim] sample:		3396.2 time, 3400.7 real, 28.7 MB
[runlim] sample:		3406.2 time, 3410.7 real, 28.7 MB
[runlim] sample:		3416.1 time, 3420.7 real, 28.7 MB
[runlim] sample:		3426.1 time, 3430.7 real, 28.7 MB
[runlim] sample:		3436.1 time, 3440.7 real, 28.7 MB
[runlim] sample:		3446.1 time, 3450.7 real, 29.0 MB
[runlim] sample:		3456.1 time, 3460.7 real, 29.0 MB
[runlim] sample:		3466.1 time, 3470.7 real, 29.0 MB
[runlim] sample:		3476.1 time, 3480.7 real, 29.0 MB
[runlim] sample:		3486.1 time, 3490.7 real, 29.0 MB
[runlim] sample:		3496.1 time, 3500.7 real, 29.0 MB
[runlim] sample:		3506.0 time, 3510.7 real, 29.0 MB
[runlim] sample:		3516.0 time, 3520.7 real, 29.0 MB
[runlim] sample:		3526.0 time, 3530.7 real, 29.2 MB
[runlim] sample:		3536.0 time, 3540.7 real, 29.2 MB
[runlim] sample:		3546.0 time, 3550.7 real, 29.2 MB
[runlim] sample:		3556.0 time, 3560.7 real, 29.2 MB
[runlim] sample:		3566.0 time, 3570.7 real, 29.2 MB
[runlim] sample:		3576.0 time, 3580.7 real, 29.2 MB
[runlim] sample:		3585.9 time, 3590.7 real, 29.2 MB
[runlim] sample:		3595.9 time, 3600.7 real, 29.2 MB
[runlim] sample:		3605.9 time, 3610.7 real, 29.5 MB
[runlim] sample:		3615.9 time, 3620.7 real, 29.5 MB
[runlim] sample:		3625.9 time, 3630.7 real, 29.5 MB
[runlim] sample:		3635.9 time, 3640.7 real, 29.5 MB
[runlim] sample:		3645.9 time, 3650.7 real, 29.5 MB
[runlim] sample:		3655.9 time, 3660.7 real, 29.5 MB
[runlim] sample:		3665.9 time, 3670.7 real, 29.5 MB
[runlim] sample:		3675.9 time, 3680.7 real, 29.7 MB
[runlim] sample:		3685.8 time, 3690.7 real, 29.7 MB
