[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		13990 MB
[runlim] argv[0]:		./a.out
[runlim] argv[1]:		12
[runlim] argv[2]:		2
[runlim] argv[3]:		1
[runlim] start:			Wed Sep  1 02:02:02 2021
[runlim] main pid:		15728
[runlim] sample:		10.0 time, 10.6 real, 281.9 MB
[runlim] sample:		20.0 time, 20.6 real, 517.6 MB
[runlim] sample:		30.0 time, 30.6 real, 738.3 MB
[runlim] sample:		40.0 time, 40.6 real, 949.7 MB
[runlim] sample:		50.0 time, 50.6 real, 1158.0 MB
[runlim] sample:		60.0 time, 60.6 real, 1427.7 MB
[runlim] sample:		69.9 time, 70.6 real, 1740.4 MB
[runlim] sample:		79.9 time, 80.6 real, 3124.8 MB
[runlim] sample:		89.9 time, 90.6 real, 3124.8 MB
[runlim] sample:		99.9 time, 100.6 real, 3124.8 MB
[runlim] sample:		109.9 time, 110.6 real, 3124.8 MB
[runlim] sample:		119.9 time, 120.6 real, 3124.8 MB
[runlim] sample:		129.9 time, 130.6 real, 3124.8 MB
[runlim] sample:		139.9 time, 140.6 real, 3124.8 MB
[runlim] sample:		149.9 time, 150.6 real, 3124.8 MB
[runlim] sample:		159.9 time, 160.6 real, 3124.8 MB
[runlim] sample:		169.9 time, 170.6 real, 3124.8 MB
[runlim] sample:		179.9 time, 180.6 real, 3124.8 MB
[runlim] sample:		189.9 time, 190.6 real, 3124.8 MB
[runlim] sample:		199.8 time, 200.6 real, 3124.8 MB
[runlim] sample:		209.8 time, 210.6 real, 3124.8 MB
[runlim] sample:		219.8 time, 220.6 real, 3124.8 MB
[runlim] sample:		229.8 time, 230.6 real, 3124.8 MB
[runlim] sample:		239.8 time, 240.6 real, 3124.8 MB
[runlim] sample:		249.8 time, 250.6 real, 3124.8 MB
[runlim] sample:		259.8 time, 260.6 real, 3124.8 MB
[runlim] sample:		269.8 time, 270.6 real, 3124.8 MB
[runlim] sample:		279.8 time, 280.6 real, 3124.8 MB
[runlim] sample:		289.8 time, 290.6 real, 3124.8 MB
[runlim] sample:		299.8 time, 300.6 real, 3124.8 MB
[runlim] sample:		309.8 time, 310.6 real, 3124.8 MB
[runlim] sample:		319.8 time, 320.6 real, 3124.8 MB
[runlim] sample:		329.8 time, 330.6 real, 3124.8 MB
[runlim] sample:		339.8 time, 340.6 real, 3124.8 MB
[runlim] sample:		349.7 time, 350.6 real, 3124.8 MB
[runlim] sample:		359.7 time, 360.6 real, 3124.8 MB
[runlim] sample:		369.7 time, 370.6 real, 3124.8 MB
[runlim] sample:		379.7 time, 380.6 real, 3124.8 MB
[runlim] sample:		389.7 time, 390.6 real, 3124.8 MB
[runlim] sample:		399.7 time, 400.6 real, 3124.8 MB
[runlim] sample:		409.7 time, 410.6 real, 3124.8 MB
[runlim] end:			Wed Sep  1 02:08:59 2021
[runlim] status:		ok
[runlim] result:		0
[runlim] children:		0
[runlim] real:			417.40 seconds
[runlim] time:			416.49 seconds
[runlim] space:			3124.9 MB
[runlim] samples:		4168
